mention	count	valid_range
151 at	2	SUSPECT
201 engine	2	SUSPECT
1040 medical	2	YES
1284 nicholson	2	YES
14133 detroit	2	YES
1578 elmwood	2	YES
630 at	2	SUSPECT
1471 ridgewood	2	YES
509 said	2	SUSPECT
710 and	2	SUSPECT
14306 v	2	YES
629 medic	2	SUSPECT
117 edgewater	2	SUSPECT
282 copy	2	SUSPECT
2013 bmw	2	YES
57175 brown	2	SUSPECT
219 out	2	SUSPECT
120 27	2	SUSPECT
115 madison	2	SUSPECT
2018 mitsubishi	2	YES
117 next	2	SUSPECT
2019 for	2	YES
2105 block	2	YES
29117 in	2	SUSPECT
213 the	2	SUSPECT
182 58th	2	SUSPECT
12417 madison	2	YES
1360 dl	2	YES
517 at	2	SUSPECT
1404 newman	2	YES
273 10-8	2	SUSPECT
1118 of	2	YES
2018 volkswagen	2	YES
118 to	2	SUSPECT
2013 chrysler	2	YES
2055 morrison	2	YES
205 5	2	SUSPECT
2073 morrison	2	YES
262 or	2	SUSPECT
113 female	2	SUSPECT
215 listening	2	SUSPECT
272 can	2	SUSPECT
272 could	2	SUSPECT
1578 cordova	2	YES
211 car	2	SUSPECT
2045 lincoln	2	YES
600 medic	2	SUSPECT
2019 robin	2	YES
213 brown	2	SUSPECT
1590 grace	2	YES
2025 toyota	2	YES
1202 on	2	YES
307 complainant	2	SUSPECT
273 clifton	2	SUSPECT
211 1	2	SUSPECT
1435 hopkins	2	YES
100 brown	2	SUSPECT
211 franklin	2	SUSPECT
1619 alameda	2	YES
321 q19	2	SUSPECT
319 i'm	2	SUSPECT
1623 rosewood	2	YES
721 a	2	SUSPECT
219 clifton	2	SUSPECT
1234 ethel	2	YES
230 valid	2	SUSPECT
311 of	2	SUSPECT
431 at	2	SUSPECT
13914 clifton	2	YES
117 year	2	SUSPECT
219 in	2	SUSPECT
322 of	2	SUSPECT
2043 waterbury	2	YES
124 you	2	SUSPECT
1517 lincoln	2	YES
117 closed	2	SUSPECT
1224 west	2	YES
173 at	2	SUSPECT
1340 hurd	2	YES
106 male	2	SUSPECT
207 for	2	SUSPECT
125 hunter	2	SUSPECT
517 of	2	SUSPECT
315 for	2	SUSPECT
2008 jeep	2	YES
607 for	2	SUSPECT
2019 larc	2	YES
219 all	2	SUSPECT
1471 waterbury	2	YES
124 madison	2	SUSPECT
211 radio	2	SUSPECT
203 or	2	SUSPECT
1101 west	2	YES
1363 belle	2	YES
220 10-8	2	SUSPECT
117 24	2	SUSPECT
1278 chase	2	YES
236 it	2	SUSPECT
2011 bmw	2	YES
1913 on	2	YES
206 is	2	SUSPECT
1810 lake	2	YES
2207 eldridge	2	YES
422 i'm	2	SUSPECT
1494 alameda	2	YES
219 he	2	SUSPECT
13506 clifton	2	YES
1278 edwards	2	YES
911 an	2	SUSPECT
114 door	2	SUSPECT
219 respond	2	SUSPECT
1200 edgewater	2	YES
908 car	2	SUSPECT
406 the	2	SUSPECT
24306 detroit	2	SUSPECT
1389 annette	2	YES
17712 narragansett	2	YES
117 turn	2	SUSPECT
16902 clifton	2	YES
1594 parkwood	2	YES
118 19	2	SUSPECT
924 medical	2	SUSPECT
226 check	2	SUSPECT
144 15	2	SUSPECT
2088 bunts	2	YES
211 warren	2	SUSPECT
2024 wiscona	2	YES
303 they	2	SUSPECT
117 6	2	SUSPECT
517 for	2	SUSPECT
220 for	2	SUSPECT
224 215	2	SUSPECT
273 we're	2	SUSPECT
273 they're	2	SUSPECT
1458 roycroft	2	YES
1369 beach	2	YES
134 45	2	SUSPECT
210 black	2	SUSPECT
2077 wyandotte	2	YES
529 of	2	SUSPECT
143 06	2	SUSPECT
215 warren	2	SUSPECT
1510 victoria	2	YES
1682 elber	2	YES
1356 marlo	2	YES
58105 brown	2	SUSPECT
160 blonde	2	SUSPECT
17414 madison	2	YES
1640 lauderdale	2	YES
2207 clarence	2	YES
117 215	2	SUSPECT
1278 marlowe	2	YES
1382 frye	2	YES
106 engine	2	SUSPECT
1555 parkwood	2	YES
140 27	2	SUSPECT
228 i	2	SUSPECT
215 10-4	2	SUSPECT
43044 81	2	SUSPECT
7465 year	2	SUSPECT
2160 adkins	2	YES
405 speak	2	SUSPECT
117 19	2	SUSPECT
712 for	2	SUSPECT
146 the	2	SUSPECT
1340 heard	2	YES
103 room	2	SUSPECT
2025 and	2	YES
11735 franklin	2	YES
128 and	2	SUSPECT
2041 albor	2	YES
209 stall	2	SUSPECT
206 are	2	SUSPECT
2019 and	2	YES
1470 ridgewood	2	YES
1208 andrews	2	YES
123 please	2	SUSPECT
911 there	2	SUSPECT
1357 albert	2	YES
2015 mercedes	2	YES
121 of	2	SUSPECT
410 for	2	SUSPECT
11732 lakewood	2	YES
310 the	2	SUSPECT
1443 medic	2	YES
1837 edgewater	2	YES
1543 wyandotte	2	YES
108 go	2	SUSPECT
11817 detroit	2	YES
2026 hyundai	2	YES
17422 cannon	2	YES
132 on	2	SUSPECT
17521 friese	2	YES
1242 chase	2	YES
425 medic	2	SUSPECT
1257 chase	2	YES
262 if	2	SUSPECT
3626 i	2	SUSPECT
122 15	2	SUSPECT
112 please	2	SUSPECT
219 rush	2	SUSPECT
211 30	2	SUSPECT
230 for	2	SUSPECT
2187 alger	2	YES
270 black	2	SUSPECT
519 at	2	SUSPECT
323 for	2	SUSPECT
211 she	2	SUSPECT
1427 winchester	2	YES
211 3	2	SUSPECT
17722 near	2	YES
215 st	2	SUSPECT
1295 beach	2	YES
1610 cheshire	2	YES
1610 chester	2	YES
567 x-ray	2	SUSPECT
17605 archdale	2	YES
360 zebra	2	SUSPECT
2011 at	2	YES
215 blonde	2	SUSPECT
2068 bunts	2	YES
217 do	2	SUSPECT
301 she	2	SUSPECT
111 is	2	SUSPECT
202 head	2	SUSPECT
2026 66	2	YES
314 can	2	SUSPECT
234 i	2	SUSPECT
15319 detroit	2	YES
224 10-7	2	SUSPECT
224 dl	2	SUSPECT
15119 lake	2	YES
229 head	2	SUSPECT
1266 code	2	YES
1363 bunch	2	YES
101 door	2	SUSPECT
518 medic	2	SUSPECT
103 brown	2	SUSPECT
1626 warren	2	YES
1400 bunts	2	YES
2010 dodge	2	YES
2020 at	2	YES
924 female	2	SUSPECT
126 of	2	SUSPECT
211 210	2	SUSPECT
214 copy	2	SUSPECT
210 10-8	2	SUSPECT
1619 orchard	2	YES
1491 blossom	2	YES
11824 madison	2	YES
273 i'll	2	SUSPECT
1550 coutant	2	YES
2012 mazda	2	YES
114 of	2	SUSPECT
421 25	2	SUSPECT
156 black	2	SUSPECT
263 and	2	SUSPECT
261 you	2	SUSPECT
224 225	2	SUSPECT
000 athens	2	SUSPECT
202 6	2	SUSPECT
211 213	2	SUSPECT
2007 pontiac	2	YES
18660 detroit	2	YES
159 14	2	SUSPECT
15914 clifton	2	YES
2011 lincoln	2	YES
211 of	2	SUSPECT
1466 orchard	2	YES
306 for	2	SUSPECT
120 27th	2	SUSPECT
228 203	2	SUSPECT
164 wait	2	SUSPECT
15729 madison	2	YES
211 detroit	2	SUSPECT
206 chevy	2	SUSPECT
620 26	2	SUSPECT
101 and	2	SUSPECT
173 17	2	SUSPECT
1665 waterbury	2	YES
369 bunts	2	SUSPECT
195 black	2	SUSPECT
1400 madison	2	YES
412 of	2	SUSPECT
1187 brockley	2	YES
2019 can	2	YES
1624 alameda	2	YES
902 beach	2	SUSPECT
2252 northland	2	YES
1463 kutont	2	YES
2216 eldreda	2	YES
51113 black	2	SUSPECT
215 thank	2	SUSPECT
1277 cole	2	YES
1593 victoria	2	YES
1446 winchester	2	YES
116 for	2	SUSPECT
116 medic	2	SUSPECT
1282 belle	2	YES
240 yeah	2	SUSPECT
14721 clifton	2	YES
184 25	2	SUSPECT
2183 lakeland	2	YES
2115 2115	2	YES
2115 robin	2	YES
366 tom	2	SUSPECT
2017 mercedes	2	YES
2002 belle	2	YES
15106 detroit	2	YES
1323 belle	2	YES
2019 quail	2	YES
225 just	2	SUSPECT
1022 and	2	YES
2067 ferndale	2	YES
1900 hours	2	YES
1365 lakewood	2	YES
213 is	2	SUSPECT
260 go	2	SUSPECT
221 19	2	SUSPECT
1501 cohasset	2	YES
522 for	2	SUSPECT
2210 bunts	2	YES
53135 brown	2	SUSPECT
1295 gladys	2	YES
207 stand	2	SUSPECT
1580 coutant	2	YES
1227 edwards	2	YES
222 madison	2	SUSPECT
2011 blue	2	YES
1530 ridgewood	2	YES
12005 clifton	2	YES
303 a	2	SUSPECT
2004 19	2	YES
2001 22	2	YES
2004 toyota	2	YES
207 there's	2	SUSPECT
14274 lakewood	2	YES
1622 ridgewood	2	YES
1250 elber	2	YES
1477 waterbury	2	YES
2115 bunts	2	YES
205 oh	2	SUSPECT
218 26	2	SUSPECT
222 bed	2	SUSPECT
1300 detroit	2	YES
160 and	2	SUSPECT
1229 ethel	2	YES
125 82	2	SUSPECT
12627 franklin	2	YES
206 she's	2	SUSPECT
2020 volkswagen	2	YES
9712 copy	2	SUSPECT
12010 clifton	2	YES
282 are	2	SUSPECT
1275 beach	2	YES
1611 marlowe	2	YES
2020 subaru	2	YES
1638 bell	2	YES
1640 alameda	2	YES
1605 clarence	2	YES
1646 elber	2	YES
2053 carabel	2	YES
213 respond	2	SUSPECT
15204 madison	2	YES
1447 graber	2	YES
1315 belle	2	YES
1481 alameda	2	YES
224 at	2	SUSPECT
106 for	2	SUSPECT
218 218	2	SUSPECT
2130 alger	2	YES
1476 west	2	YES
227 the	2	SUSPECT
18100 detroit	2	YES
411 for	2	SUSPECT
218 14	2	SUSPECT
1380 warren	2	YES
224 you're	2	SUSPECT
227 227	2	SUSPECT
1500 parkwood	2	YES
212 cars	2	SUSPECT
14224 detroit	2	YES
227 back	2	SUSPECT
1439 graber	2	YES
2006 volkswagen	2	YES
1581 newman	2	YES
225 you	2	SUSPECT
12950 clifton	2	YES
1678 ridgewood	2	YES
761 zebra	2	SUSPECT
222 we	2	SUSPECT
414 cash	2	SUSPECT
2014 quail	2	YES
722 of	2	SUSPECT
212 29	2	SUSPECT
2157 overbrook	2	YES
214 211	2	SUSPECT
222 22	2	SUSPECT
13926 lake	2	YES
2099 morrison	2	YES
229 219	2	SUSPECT
2033 morrison	2	YES
526 of	2	SUSPECT
229 202	2	SUSPECT
1001 it's	2	YES
118 18th	2	SUSPECT
219 cad	2	SUSPECT
219 west	2	SUSPECT
1277 colts	2	YES
113 for	2	SUSPECT
1611 ridgewood	2	YES
2006 pontiac	2	YES
202 go	2	SUSPECT
1297 thoreau	2	YES
1125 of	2	YES
169 06	2	SUSPECT
2021 jeep	2	YES
1577 on	2	YES
1273 jackson	2	YES
203 a	2	SUSPECT
2019 jaguar	2	YES
221 of	2	SUSPECT
2002 22	2	YES
125 black	2	SUSPECT
17025 madison	2	YES
219 that's	2	SUSPECT
2009 nissan	2	YES
150 blonde	2	SUSPECT
1323 brockley	2	YES
204 she	2	SUSPECT
1570 woodward	2	YES
425 is	2	SUSPECT
223 the	2	SUSPECT
1346 hull	2	YES
2200 wyandotte	2	YES
2086 robin	2	YES
12903 clifton	2	YES
1247 summit	2	YES
202 225	2	SUSPECT
2135 belle	2	YES
282 no	2	SUSPECT
1607 ridgewood	2	YES
207 10-4	2	SUSPECT
303 i	2	SUSPECT
1221 granger	2	YES
1575 elber	2	YES
801 medic	2	SUSPECT
1615 grace	2	YES
1549 spring	2	YES
2004 mercury	2	YES
2943 clifton	2	SUSPECT
1700 hours	2	YES
15620 mass	2	YES
117 it	2	SUSPECT
160 at	2	SUSPECT
16906 delaware	2	YES
14035 madison	2	YES
1623 hopkins	2	YES
2079 clearance	2	YES
1542 winton	2	YES
2216 richland	2	YES
14910 lakewood	2	YES
2147 brown	2	YES
2020 red	2	YES
219 227	2	SUSPECT
1583 northland	2	YES
106 and	2	SUSPECT
2132 waskana	2	YES
1635 cohasset	2	YES
1570 westwood	2	YES
2151 atkins	2	YES
2297 mckinley	2	YES
1406 elber	2	YES
208 10-4	2	SUSPECT
1276 idlewood	2	YES
12525 edgewater	2	YES
14718 detroit	2	YES
224 211	2	SUSPECT
2210 for	2	YES
214 respond	2	SUSPECT
3030 madison	2	SUSPECT
212 just	2	SUSPECT
212 it's	2	SUSPECT
1649 winton	2	YES
212 14	2	SUSPECT
1105 medic	2	YES
202 207	2	SUSPECT
1449 elber	2	YES
2119 glenberry	2	YES
000 or	2	SUSPECT
13500 elver	2	YES
2081 bunts	2	YES
1280 andrews	2	YES
2024 35	2	YES
8915 detroit	2	SUSPECT
1535 coutant	2	YES
1353 belle	2	YES
2023 lark	2	YES
222 in	2	SUSPECT
2080 coyle	2	YES
142 19	2	SUSPECT
1445 roycroft	2	YES
1341 cook	2	YES
1468 elber	2	YES
1349 summit	2	YES
224 that	2	SUSPECT
2020 tesla	2	YES
2025 33	2	YES
14220 ferndale	2	YES
211 she's	2	SUSPECT
1246 manor	2	YES
1346 coves	2	YES
16927 detroit	2	YES
2231 eldred	2	YES
2216 emily	2	YES
14524 delaware	2	YES
227 22	2	SUSPECT
18622 detroit	2	YES
1227 ethel	2	YES
1590 ridgewood	2	YES
1652 lauderdale	2	YES
15102 lanning	2	YES
1658 parkwood	2	YES
227 7	2	SUSPECT
311 and	2	SUSPECT
1244 ramona	2	YES
117 code	2	SUSPECT
270 or	2	SUSPECT
211 did	2	SUSPECT
1508 hopkins	2	YES
1474 male	2	YES
18501 detroit	2	YES
2006 chevy	2	YES
2168 lakeland	2	YES
1416 waterbury	2	YES
2030 mars	2	YES
2003 white	2	YES
2025 he's	2	YES
2231 alger	2	YES
12509 lake	2	YES
14869 detroit	2	YES
2153 halstead	2	YES
511 140	2	SUSPECT
1126 forrest	2	YES
1444 lauderdale	2	YES
2026 lark	2	YES
17814 riverside	2	YES
1377 annett	2	YES
1627 ridgewood	2	YES
13425 madison	2	YES
2029 wyandotte	2	YES
804 for	2	SUSPECT
804 medic	2	SUSPECT
2034 brown	2	YES
1503 rosewood	2	YES
2020 alberta	2	YES
14529 lake	2	YES
14306 fisher	2	YES
1537 lewis	2	YES
222 219	2	SUSPECT
16202 hilliard	2	YES
2134 dowd	2	YES
1617 lakeland	2	YES
913 boy	2	SUSPECT
1578 mars	2	YES
1269 hall	2	YES
222 respond	2	SUSPECT
1341 warren	2	YES
221 just	2	SUSPECT
1653 grace	2	YES
1341 lakelands	2	YES
217 of	2	SUSPECT
145 32	2	SUSPECT
16215 madison	2	YES
13616 medicine	2	YES
221 medic	2	SUSPECT
214 traffic	2	SUSPECT
15100 edgewater	2	YES
1335 webb	2	YES
1329 fry	2	YES
2018 mazda	2	YES
211 code	2	SUSPECT
2100 wiscona	2	YES
1284 gladister	2	YES
1429 graber	2	YES
1215 ramona	2	YES
1539 west	2	YES
1408 ridgewood	2	YES
107 that's	2	SUSPECT
2003 ford	2	YES
204 i'll	2	SUSPECT
2023 year	2	YES
1458 belle	2	YES
172 madison	2	SUSPECT
1228 geale	2	YES
2126 lincoln	2	YES
116 john	2	SUSPECT
1548 spring	2	YES
1338 turd	2	YES
1653 lincoln	2	YES
1299 cove	2	YES
2020 chief	2	YES
222 212	2	SUSPECT
1651 parkwood	2	YES
207 you	2	SUSPECT
225 the	2	SUSPECT
1252 warren	2	YES
223 if	2	SUSPECT
1367 edwards	2	YES
224 24	2	SUSPECT
12954 clifton	2	YES
1552 lauderdale	2	YES
129 lake	2	SUSPECT
2173 clarency	2	YES
222 that	2	SUSPECT
1201 cooks	2	YES
118 29	2	SUSPECT
1365 elber	2	YES
2125 brown	2	YES
1307 bonnevue	2	YES
2195 to	2	YES
117 by	2	SUSPECT
245 can	2	SUSPECT
223 23	2	SUSPECT
1628 marlowe	2	YES
1221 st	2	YES
2073 olive	2	YES
290 brown	2	SUSPECT
2157 mckinley	2	YES
13435 merle	2	YES
117 male	2	SUSPECT
1298 warren	2	YES
2101 halstead	2	YES
1263 jacks	2	YES
11729 clifton	2	YES
204 medic	2	SUSPECT
13304 hazelwood	2	YES
1469 spring	2	YES
14300 lakewood	2	YES
17706 lakewood	2	YES
213 if	2	SUSPECT
19615 lake	2	SUSPECT
1490 ridgewood	2	YES
14718 medicine	2	YES
2128 wyandotte	2	YES
14300 to	2	YES
405 medic	2	SUSPECT
225 medic	2	SUSPECT
270 that	2	SUSPECT
1470 parkhaven	2	YES
1530 parkway	2	YES
224 medic	2	SUSPECT
227 we're	2	SUSPECT
1184 french	2	YES
1650 at	2	YES
52130 brown	2	SUSPECT
2005 dodge	2	YES
117 after	2	SUSPECT
2020 silver	2	YES
2105 arthur	2	YES
510 175	2	SUSPECT
212 do	2	SUSPECT
225 of	2	SUSPECT
2023 cadillac	2	YES
17430 woodford	2	YES
24600 detroit	2	SUSPECT
2067 clarence	2	YES
1391 sloan	2	YES
1330 phelps	2	YES
143 23	2	SUSPECT
2019 baxter	2	YES
17523 madison	2	YES
2210 woodward	2	YES
2002 broadview	2	YES
1442 ridgewood	2	YES
1425 onwood	2	YES
1307 andrews	2	YES
1233 belle	2	YES
2010 chrysler	2	YES
15019 madison	2	YES
11863 edgewater	2	YES
220 in	2	SUSPECT
212 214	2	SUSPECT
212 carbis	2	SUSPECT
2115 arthur	2	YES
163 hilliard	2	SUSPECT
14104 madison	2	YES
1615 lakeland	2	YES
1634 at	2	YES
20251 lake	2	SUSPECT
2018 quayle	2	YES
1472 elmwood	2	YES
145 21	2	SUSPECT
141 for	2	SUSPECT
1632 grace	2	YES
11829 edgewater	2	YES
2017 mazda	2	YES
2016 red	2	YES
15120 edgewater	2	YES
1536 elmwood	2	YES
1446 graber	2	YES
148 10	2	SUSPECT
1446 for	2	YES
12535 edgewater	2	YES
406 engine	2	SUSPECT
1664 cohasset	2	YES
718 of	2	SUSPECT
227 27	2	SUSPECT
205 we've	2	SUSPECT
208 there's	2	SUSPECT
1325 queen	2	YES
17819 webcliff	2	YES
12526 clifton	2	YES
1653 cohasset	2	YES
2088 halstead	2	YES
1621 1621	2	YES
208 209	2	SUSPECT
209 engine	2	SUSPECT
216 for	2	SUSPECT
3190 west	2	SUSPECT
1423 lakewood	2	YES
703 i	2	SUSPECT
138 window	2	SUSPECT
223 could	2	SUSPECT
13727 madison	2	YES
1602 winchester	2	YES
204 this	2	SUSPECT
1219 lakeland	2	YES
826 24	2	SUSPECT
000 bond	2	SUSPECT
301 complainant	2	SUSPECT
000 is	2	SUSPECT
2171 niagara	2	YES
238 you	2	SUSPECT
1223 lakeland	2	YES
2212 is	2	YES
5527 madison	2	SUSPECT
17018 delaware	2	YES
14927 arden	2	YES
14616 clifton	2	YES
2020 chrysler	2	YES
122 25	2	SUSPECT
117 henry	2	SUSPECT
117 that	2	SUSPECT
1360 fry	2	YES
1170 in	2	YES
1354 transferred	2	YES
353 lakewood	2	SUSPECT
292 98	2	SUSPECT
214 you	2	SUSPECT
164 14	2	SUSPECT
1306 matthews	2	YES
105 speak	2	SUSPECT
1641 wyandotte	2	YES
511 160	2	SUSPECT
125 the	2	SUSPECT
146 15	2	SUSPECT
2005 silver	2	YES
622 of	2	SUSPECT
12308 clover	2	YES
1368 phelps	2	YES
1671 bunts	2	YES
2147 dowd	2	YES
119 for	2	SUSPECT
13608 detroit	2	YES
2219 brown	2	YES
105 she	2	SUSPECT
1449 west	2	YES
1617 newman	2	YES
14810 detroit	2	YES
1246 nicholson	2	YES
305 complainant	2	SUSPECT
615 newman	2	SUSPECT
124 of	2	SUSPECT
229 22	2	SUSPECT
18224 detroit	2	YES
1238 donald's	2	YES
270 212	2	SUSPECT
619 for	2	SUSPECT
11844 clifton	2	YES
1614 ridgewood	2	YES
1415 olivewood	2	YES
1285 andrews	2	YES
1306 park	2	YES
1474 ridgewood	2	YES
1594 lakewood	2	YES
2212 carabel	2	YES
1368 pry	2	YES
12984 lake	2	YES
1508 parkway	2	YES
13314 detroit	2	YES
1426 rio	2	YES
410 medic	2	SUSPECT
14900 edgewater	2	YES
2022 robin	2	YES
2033 reveille	2	YES
3850 linden	2	SUSPECT
2183 albert	2	YES
2012 acura	2	YES
1433 mail	2	YES
1496 coutant	2	YES
263 go	2	SUSPECT
202 she	2	SUSPECT
1476 richwood	2	YES
1292 hathaway	2	YES
1219 webb	2	YES
10303 empire	2	SUSPECT
14527 garfield	2	YES
2207 elber	2	YES
2132 ascana	2	YES
2179 waterbury	2	YES
1250 jackson	2	YES
270 will	2	SUSPECT
1369 bunce	2	YES
1533 cohasset	2	YES
100 on	2	SUSPECT
225 respond	2	SUSPECT
1495 st	2	YES
13386 madison	2	YES
1409 waterbury	2	YES
1310 summit	2	YES
2183 elber	2	YES
1247 donald	2	YES
513 of	2	SUSPECT
17897 captains	2	YES
4841 did	2	SUSPECT
313 of	2	SUSPECT
1508 winston	2	YES
14508 madison	2	YES
212 give	2	SUSPECT
14908 clifton	2	YES
1276 ida	2	YES
273 is	2	SUSPECT
11811 lakewood	2	YES
1462 lakewood	2	YES
117 72	2	SUSPECT
2088 halsted	2	YES
1204 marlowe	2	YES
228 i'll	2	SUSPECT
1499 newman	2	YES
17800 franklin	2	YES
1016 out	2	YES
2021 richland	2	YES
2301 niagara	2	YES
1620 victoria	2	YES
220 it	2	SUSPECT
203 her	2	SUSPECT
1335 nelson	2	YES
894 beach	2	SUSPECT
17817 shaw	2	YES
2015 volkswagen	2	YES
17315 archdale	2	YES
204 we'll	2	SUSPECT
114 to	2	SUSPECT
17508 riverway	2	YES
129 62	2	SUSPECT
168 11	2	SUSPECT
163 16	2	SUSPECT
16109 clifton	2	YES
1527 mars	2	YES
12212 plover	2	YES
16413 hilliard	2	YES
207 what's	2	SUSPECT
2132 west	2	YES
1349 warren	2	YES
2008 mercury	2	YES
222 19	2	SUSPECT
221 1209	2	SUSPECT
1276 manor	2	YES
1653 marlowe	2	YES
1661 lauderdale	2	YES
113 39	2	SUSPECT
2060 arthur	2	YES
2074 arthur	2	YES
17314 riverway	2	YES
2069 lewis	2	YES
301 he	2	SUSPECT
1504 winton	2	YES
12542 clifton	2	YES
1807 north	2	YES
2089 halstead	2	YES
185 it's	2	SUSPECT
201 from	2	SUSPECT
1621 elmwood	2	YES
181 29	2	SUSPECT
1434 lauderdale	2	YES
1617 robinwood	2	YES
13301 hazelwood	2	YES
14229 athens	2	YES
208 213	2	SUSPECT
707 medic	2	SUSPECT
203 203	2	SUSPECT
182 25	2	SUSPECT
2205 linden	2	YES
1358 edwards	2	YES
1276 clifton	2	YES
1278 clifton	2	YES
103 can	2	SUSPECT
229 229	2	SUSPECT
1269 coast	2	YES
2004 5	2	YES
1287 edwards	2	YES
207 check	2	SUSPECT
2050 dowell	2	YES
1468 hopkins	2	YES
13346 madison	2	YES
1624 winton	2	YES
911 with	2	SUSPECT
1499 lakeland	2	YES
239 can	2	SUSPECT
282 could	2	SUSPECT
2075 clearance	2	YES
172 21	2	SUSPECT
14920 lanning	2	YES
1416 westwood	2	YES
205 said	2	SUSPECT
15914 lakeville	2	YES
1616 w	2	YES
219 we	2	SUSPECT
1377 park	2	YES
1656 orchard	2	YES
1631 cohabfit	2	YES
210 35	2	SUSPECT
1697 arthur	2	YES
2115 carabel	2	YES
418 can	2	SUSPECT
1760 tunera-gansett	2	YES
1340 ethel	2	YES
1622 at	2	YES
702 medic	2	SUSPECT
1515 west	2	YES
1136 cook	2	YES
2017 bmw	2	YES
212 plate	2	SUSPECT
1346 colesby	2	YES
1626 linton	2	YES
2216 lincoln	2	YES
1361 manor	2	YES
220 15	2	SUSPECT
12005 detroit	2	YES
12027 lake	2	YES
1526 wyandotte	2	YES
2318 1615	2	YES
1242 heard	2	YES
222 she	2	SUSPECT
319 of	2	SUSPECT
2004 white	2	YES
2170 atkins	2	YES
2004 cadillac	2	YES
318 of	2	SUSPECT
17803 riverway	2	YES
102 complainant	2	SUSPECT
102 break	2	SUSPECT
14815 clifton	2	YES
203 19	2	SUSPECT
14713 lake	2	YES
1206 webb	2	YES
11823 clifton	2	YES
1580 ridgewood	2	YES
217 that's	2	SUSPECT
13455 lake	2	YES
1212 hall	2	YES
204 respond	2	SUSPECT
2034 atkins	2	YES
17436 woodford	2	YES
2034 at	2	YES
226 respond	2	SUSPECT
2121 arthur	2	YES
809 medic	2	SUSPECT
1045 homewood	2	YES
226 on	2	SUSPECT
1359 belle	2	YES
2142 chesterland	2	YES
13362 madison	2	YES
117 this	2	SUSPECT
102 window	2	SUSPECT
2221 brown	2	YES
17400 cannon	2	YES
13476 edgewater	2	YES
28902 3	2	SUSPECT
19895 detroit	2	SUSPECT
1237 brockley	2	YES
1467 parkhaven	2	YES
1448 bunts	2	YES
1454 rorycroft	2	YES
205 207	2	SUSPECT
126 50	2	SUSPECT
500 on	2	SUSPECT
300 instant	2	SUSPECT
17444 northwood	2	YES
219 29	2	SUSPECT
2222 chesterland	2	YES
1327 lakewood	2	YES
1492 cordova	2	YES
226 205	2	SUSPECT
17881 lake	2	YES
282 can	2	SUSPECT
1557 alameda	2	YES
128 06	2	SUSPECT
213 those	2	SUSPECT
2124 bunts	2	YES
1474 woodward	2	YES
213 same	2	SUSPECT
2204 alger	2	YES
212 229	2	SUSPECT
2124 wind	2	YES
2110 clarence	2	YES
55150 brown	2	SUSPECT
1257 cole	2	YES
227 in	2	SUSPECT
2122 olive	2	YES
12582 clifton	2	YES
209 bed	2	SUSPECT
227 212	2	SUSPECT
1608 larchmont	2	YES
222 medic	2	SUSPECT
222 203	2	SUSPECT
55135 brown	2	SUSPECT
226 go	2	SUSPECT
127 green	2	SUSPECT
1441 rosewood	2	YES
1612 warren	2	YES
1679 windup	2	YES
1291 gladys	2	YES
400 see	2	SUSPECT
14930 lakewood	2	YES
1363 bell	2	YES
205 if	2	SUSPECT
147 23	2	SUSPECT
2133 dowd	2	YES
2035 chetland	2	YES
1634 victoria	2	YES
507 medic	2	SUSPECT
213 213	2	SUSPECT
2035 trestle	2	YES
12813 detroit	2	YES
211 we	2	SUSPECT
1377 lakeland	2	YES
1260 giel	2	YES
1220 donald	2	YES
169 copy	2	SUSPECT
507 for	2	SUSPECT
1582 orchard	2	YES
222 to	2	SUSPECT
2064 2064	2	YES
2064 at	2	YES
16511 hilliard	2	YES
1258 belle	2	YES
522 of	2	SUSPECT
2055 riverside	2	YES
13828 clifton	2	YES
212 no	2	SUSPECT
233 medic	2	SUSPECT
2069 2069	2	YES
2069 at	2	YES
2013 lincoln	2	YES
525 for	2	SUSPECT
525 medic	2	SUSPECT
1201 webb	2	YES
203 could	2	SUSPECT
14200 madison	2	YES
151 23	2	SUSPECT
1278 belle	2	YES
1382 kose	2	YES
1229 nicholson	2	YES
1264 lakeland	2	YES
419 can	2	SUSPECT
1523 newman	2	YES
58120 brown	2	SUSPECT
1331 gladys	2	YES
15509 madison	2	YES
17527 madison	2	YES
13804 detroit	2	YES
11835 edgewater	2	YES
12933 clifton	2	YES
1578 lakeland	2	YES
1643 rosewood	2	YES
58145 black	2	SUSPECT
182 28	2	SUSPECT
1368 marlowe	2	YES
1500 wagar	2	YES
1615 westwood	2	YES
1425 warren	2	YES
120 of	2	SUSPECT
3389 madison	2	SUSPECT
1476 bridgewood	2	YES
1656 lincoln	2	YES
303 female	2	SUSPECT
1276 pathway	2	YES
1476 lauderdale	2	YES
201 female	2	SUSPECT
2022 tesla	2	YES
1222 of	2	YES
1257 arlington	2	YES
2164 overbrook	2	YES
117 maria	2	SUSPECT
218 the	2	SUSPECT
210 respond	2	SUSPECT
14408 bays	2	YES
1507 cohasset	2	YES
1252 geale	2	YES
13520 albuquerque	2	YES
000 berea	2	SUSPECT
1537 alameda	2	YES
270 70	2	SUSPECT
2007 red	2	YES
1998 honda	2	YES
1303 throw	2	YES
2021 blue	2	YES
2087 lakeland	2	YES
2117 to	2	YES
132 madison	2	SUSPECT
2172 olive	2	YES
1630 elber	2	YES
205 dl	2	SUSPECT
81523 9	2	SUSPECT
